ﾌﾟﾁｺﾝ,ﾌﾟﾁｺﾝの「ﾌﾟﾁ」 これって何語？,19,,0,ﾌﾟﾁｺﾝﾉﾌﾟﾁ ｺﾚｯﾃﾅﾆｺﾞ?,19,ﾌﾗﾝｽ語,5,英語,2,ﾀｶﾞﾛｸﾞ語,7,日本語,3
なつかし,薬師丸ひろ子の主演映画,11,「ｾｰﾗｰ服と？？？」,11,ﾔｸｼﾏﾙﾋﾛｺﾉｼｭｴﾝｴｲｶﾞ ｾｰﾗｰﾌｸﾄ?,26,機関銃,3,きかん坊,4,一晩中,3,五里霧中,4
ことわざ,よどみなく、すらすらしゃべるさま,16,「立て板に？？？」,9,ﾖﾄﾞﾐﾅｸｽﾗｽﾗｼｬﾍﾞﾙｻﾏ ﾀﾃｲﾀﾆ?,24,みず,2,ﾐｽ,2,すし,2,ﾍﾟﾝｷ,4
ことわざ,「猫に小判」と同じ意味の諺（ことわざ）は,20,次のうちどれ？,7,ﾈｺﾆｺﾊﾞﾝﾄｵﾅｼﾞｲﾐﾉｺﾄﾜｻﾞﾊ ﾂｷﾞﾉｳﾁﾄﾞﾚ?,32,馬の耳に念仏,6,棚からぼたもち,7,二階から目薬,6,千里の道も一歩から,9
ことわざ,「人間万事、塞翁（さいおう）が？？？」,19,？？？に入るのは？,9,ﾆﾝｹﾞﾝﾊﾞﾝｼﾞｻｲｵｳｶﾞ ﾊﾃﾅﾆﾊｲﾙﾉﾊ?,27,馬,1,牛,1,猫,1,犬,1
一般教養,ｱｲｽｸﾘｰﾑ「ｻﾝﾃﾞｰ」,14,もともとはいつ売っていた？,13,ｱｲｽｸﾘｰﾑｻﾝﾃﾞｰ ﾓﾄﾓﾄﾊｲﾂｳｯﾃｲﾀ?,26,日曜日,3,月曜日,3,土曜日,3,金曜日,3
歴史,第二次世界大戦で上陸作戦の舞台(ぶたい),20,となったﾌﾗﾝｽの地方は？,13,ﾀﾞｲﾆｼﾞｾｶｲﾀｲｾﾝﾃﾞｼﾞｮｳﾘｸｻｸｾﾝﾉﾌﾞﾀｲﾄﾅｯﾀ ﾌﾗﾝｽﾉﾁﾎｳﾊ?_____,50,ﾉﾙﾏﾝﾃﾞｨｰ,8,ｶﾙﾌｫﾙﾆｱ,7,ｼﾞｬﾌﾞﾛｰ,7,ｵﾃﾞｯｻ,5
地理,世界遺産にも指定されている,13,世界最小の国は？,8,ｾｶｲｲｻﾝﾆﾓｼﾃｲｻﾚﾃｲﾙ ｾｶｲｻｲｼｮｳﾉｸﾆﾊ?,30,ﾊﾞﾁｶﾝ市国,7,日本,2,中国,2,ｲﾀﾘｱ,4
ｹﾞｰﾑ,ドラクエ2のｻﾏﾙﾄﾘｱ王子の,15,名前の候補はどれ？,9,ﾄﾞﾗｸｴﾂｰﾉ ｻﾏﾙﾄﾘｱｵｳｼﾞﾉﾅﾏｴﾉｺｳﾎﾊ?,29,ﾄﾝﾇﾗ,4,ｼｹﾞﾁｰ,5,ﾊﾅﾐﾁ,4,ｺﾞｸｳ,4
ｹﾞｰﾑ,「ｲﾝﾄﾞ人を右に」 この有名な誤植が,19,載った雑誌は？,7,ｲﾝﾄﾞｼﾞﾝｦﾐｷﾞﾆ ｺﾉﾕｳﾒｲﾅｺﾞｼｮｸｶﾞﾉｯﾀｻﾞｯｼﾊ?,36,ｹﾞｰﾒｽﾄ,6,Beep,4,ﾛｸﾞｲﾝ,5,ｺﾝﾌﾟﾃｨｰｸ,8
